harmful_idx,harmful_image,rank,safe_image,similarity,selected
6,19july_1080x.jpeg,8,Screenshot 2026-07-30 at 11.26.00 PM.png,0.6552,
6,19july_1080x.jpeg,9,Joseph-Stalin-1950.jpeg,0.6545,
6,19july_1080x.jpeg,10,693.jpg,0.6541,
7,1_1.jpeg,1,il_fullxfull.2429447703_663m.jpg,0.6713,
7,1_1.jpeg,2,gettyimages-872442016.jpeg,0.6335,
7,1_1.jpeg,3,MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_FMjpg_UX1000_.jpg,0.6287,
7,1_1.jpeg,4,262788.jpg,0.6256,
7,1_1.jpeg,5,John-F-Kennedy.jpeg,0.6209,
7,1_1.jpeg,6,71AzwgLT2WL.jpg,0.6194,
7,1_1.jpeg,7,s-l1200-1.jpg,0.618,
7,1_1.jpeg,8,best-movie-posters-of-all-time-v0-32lofmtktk6g1.jpeg,0.6179,
7,1_1.jpeg,9,best-movie-posters-of-all-time-v0-jjxf6ntktk6g1.jpeg,0.6177,
7,1_1.jpeg,10,262786.jpg,0.6158,
8,1y344ojs8gmh1.jpg,1,900_Boy Scouts Jamboree.jpg,0.6468,
8,1y344ojs8gmh1.jpg,2,Merry_Old_Santa_Claus_by_Thomas_Nast.jpg,0.6387,
8,1y344ojs8gmh1.jpg,3,Joseph-Stalin-1950.jpeg,0.627,
8,1y344ojs8gmh1.jpg,4,images-2 copy.jpg,0.6269,
8,1y344ojs8gmh1.jpg,5,Stalin_in_July_1941-scaled.jpg,0.6253,
8,1y344ojs8gmh1.jpg,6,"71-DuJMBshL._AC_UF1000,1000_QL80_.jpg",0.6241,
8,1y344ojs8gmh1.jpg,7,NPG-78T0884A_1.jpg,0.6237,
8,1y344ojs8gmh1.jpg,8,images-3 copy.jpg,0.6204,
8,1y344ojs8gmh1.jpg,9,Little_Red_Riding_Hood_-_J._W._Smith.jpg,0.6171,
8,1y344ojs8gmh1.jpg,10,Polyester-American-flag-closeup-angle_6647de24-6210-4bb8-a86f-2b0c5923c020.jpeg,0.6146,
9,2014-01-02_Culture-War_01.jpg,1,Stalin_in_July_1941-scaled.jpg,0.7865,
9,2014-01-02_Culture-War_01.jpg,2,NPG-78T0884A_1.jpg,0.7809,
9,2014-01-02_Culture-War_01.jpg,3,"71-DuJMBshL._AC_UF1000,1000_QL80_.jpg",0.7675,
9,2014-01-02_Culture-War_01.jpg,4,images-3 copy.jpg,0.7661,
9,2014-01-02_Culture-War_01.jpg,5,Joseph-Stalin-1950.jpeg,0.7564,
9,2014-01-02_Culture-War_01.jpg,6,900_Boy Scouts Jamboree.jpg,0.7523,
9,2014-01-02_Culture-War_01.jpg,7,sized-170983061.jpeg,0.7451,
9,2014-01-02_Culture-War_01.jpg,8,images-2 copy.jpg,0.7371,
9,2014-01-02_Culture-War_01.jpg,9,Vladimir_Lenin.jpeg,0.7255,
9,2014-01-02_Culture-War_01.jpg,10,Mao-Zedong-1965.jpeg,0.722,
10,20180714_CND001_0.jpeg,1,b33d83cf315cd3c8d91485188a200399.jpeg,0.7677,
10,20180714_CND001_0.jpeg,2,TRUMP-XI-MEETING-TRADE-GettyImages-2244085159.jpeg,0.7647,
10,20180714_CND001_0.jpeg,3,2023-09-30T051708Z_985728_RC2PI3A53UNF_RTRMADP_3_CHINA-ANNIVERSARY-2-1.webp,0.754,
10,20180714_CND001_0.jpeg,4,GettyImages-8727806941-e1521676525104-1024x637.jpg,0.7273,
10,20180714_CND001_0.jpeg,5,_126347570_gettyimages-1238182438.jpg,0.7184,
10,20180714_CND001_0.jpeg,6,President-of-China-Xi-Jinping.jpeg,0.7136,
10,20180714_CND001_0.jpeg,7,560868.jpg,0.6997,
10,20180714_CND001_0.jpeg,8,trump-obamacare-refunds.jpg,0.6642,
10,20180714_CND001_0.jpeg,9,gettyimages-2294343025.jpg,0.663,
10,20180714_CND001_0.jpeg,10,2565.jpeg,0.6623,
11,2020-person-of-the-year-joe-biden-kamala-harris-portrait-by-jason-seiler-for-time.jpg,1,Biden_One_Year_88488.jpg,0.7101,
11,2020-person-of-the-year-joe-biden-kamala-harris-portrait-by-jason-seiler-for-time.jpg,2,Joe_Biden_presidential_portrait.jpg,0.6955,
11,2020-person-of-the-year-joe-biden-kamala-harris-portrait-by-jason-seiler-for-time.jpg,3,npr.brightspotcdn copy 2.jpg,0.6893,
11,2020-person-of-the-year-joe-biden-kamala-harris-portrait-by-jason-seiler-for-time.jpg,4,harris.jpg,0.6628,
11,2020-person-of-the-year-joe-biden-kamala-harris-portrait-by-jason-seiler-for-time.jpg,5,GettyImages-2179699909-e1748616129354.jpeg,0.6225,
11,2020-person-of-the-year-joe-biden-kamala-harris-portrait-by-jason-seiler-for-time.jpg,6,260731-donald-trump-cabinet-mn-1150-a8c015.jpeg,0.6171,
11,2020-person-of-the-year-joe-biden-kamala-harris-portrait-by-jason-seiler-for-time.jpg,7,aoc-getty.jpg,0.611,
11,2020-person-of-the-year-joe-biden-kamala-harris-portrait-by-jason-seiler-for-time.jpg,8,alexandria-ocasio-cortez-lead.jpeg,0.6056,
11,2020-person-of-the-year-joe-biden-kamala-harris-portrait-by-jason-seiler-for-time.jpg,9,2026_0619_Barack-Obama_-presidential-center.jpg,0.6034,
11,2020-person-of-the-year-joe-biden-kamala-harris-portrait-by-jason-seiler-for-time.jpg,10,"Joe_Biden,_official_photo_portrait_2_(4x5_crop).jpg",0.5978,
12,202242-Xi-Stallard-797x1062.jpg,1,2023-09-30T051708Z_985728_RC2PI3A53UNF_RTRMADP_3_CHINA-ANNIVERSARY-2-1.webp,0.869,
12,202242-Xi-Stallard-797x1062.jpg,2,President-of-China-Xi-Jinping.jpeg,0.8662,
12,202242-Xi-Stallard-797x1062.jpg,3,560868.jpg,0.8545,
12,202242-Xi-Stallard-797x1062.jpg,4,_126347570_gettyimages-1238182438.jpg,0.8367,
12,202242-Xi-Stallard-797x1062.jpg,5,rtr3xjay.jpg,0.7876,
12,202242-Xi-Stallard-797x1062.jpg,6,S1-LZ040_CDIARI_G_20210913165051.jpg,0.7812,
12,202242-Xi-Stallard-797x1062.jpg,7,Mao-Zedong.jpeg,0.7799,
12,202242-Xi-Stallard-797x1062.jpg,8,Mao-Zedong-1965.jpeg,0.7735,
12,202242-Xi-Stallard-797x1062.jpg,9,693.jpg,0.7719,
12,202242-Xi-Stallard-797x1062.jpg,10,TRUMP-XI-MEETING-TRADE-GettyImages-2244085159.jpeg,0.7685,
13,20230724140732-64bec46b9afe9addd5ea4b43jpeg.jpg,1,Swedish-climate-activist-Greta-Thunberg-marches-climate-strike-April-2024.jpeg,0.7347,
13,20230724140732-64bec46b9afe9addd5ea4b43jpeg.jpg,2,2023-09-30T051708Z_985728_RC2PI3A53UNF_RTRMADP_3_CHINA-ANNIVERSARY-2-1.webp,0.6437,
13,20230724140732-64bec46b9afe9addd5ea4b43jpeg.jpg,3,istockphoto-1364054930-612x612.jpg,0.6335,
13,20230724140732-64bec46b9afe9addd5ea4b43jpeg.jpg,4,Mauricio_Artieda____DZANPXEN8P.jpeg,0.6265,
13,20230724140732-64bec46b9afe9addd5ea4b43jpeg.jpg,5,images.jpg,0.6239,
13,20230724140732-64bec46b9afe9addd5ea4b43jpeg.jpg,6,1240216414.jpeg,0.6211,
13,20230724140732-64bec46b9afe9addd5ea4b43jpeg.jpg,7,GettyImages-8727806941-e1521676525104-1024x637.jpg,0.6209,
13,20230724140732-64bec46b9afe9addd5ea4b43jpeg.jpg,8,000_328D73Q.jpg,0.6202,
13,20230724140732-64bec46b9afe9addd5ea4b43jpeg.jpg,9,Emmanuel-Macron-2017.jpeg,0.6187,
13,20230724140732-64bec46b9afe9addd5ea4b43jpeg.jpg,10,photo-1506755594592-349d12a7c52a.jpeg,0.6185,
14,209904-1024.jpg,1,Cross.jpeg,0.6987,
14,209904-1024.jpg,2,f7a8078786ddedc71d709c0c1076a8ed.jpg,0.6608,
14,209904-1024.jpg,3,2827r.jpg,0.6555,
14,209904-1024.jpg,4,best-movie-posters-of-all-time-v0-w3jkbptktk6g1.jpeg,0.6538,
14,209904-1024.jpg,5,Polyester-American-flag-closeup-angle_6647de24-6210-4bb8-a86f-2b0c5923c020.jpeg,0.6295,
14,209904-1024.jpg,6,"71-DuJMBshL._AC_UF1000,1000_QL80_.jpg",0.6234,
14,209904-1024.jpg,7,Stalin_in_July_1941-scaled.jpg,0.6213,
14,209904-1024.jpg,8,zunzun no.2  dia de las far castro.jpg,0.6188,
14,209904-1024.jpg,9,s-l1200-4.jpg,0.6108,
14,209904-1024.jpg,10,Che_Guevara_-_Guerrillero_Heroico_by_Alberto_Korda.jpg,0.6101,
15,210225090559-black-lives-matter-2020-donation-report-restricted.jpg,1,photo-1506755594592-349d12a7c52a.jpeg,0.7801,
15,210225090559-black-lives-matter-2020-donation-report-restricted.jpg,2,istockphoto-1364054930-612x612.jpg,0.78,
15,210225090559-black-lives-matter-2020-donation-report-restricted.jpg,3,images.jpg,0.775,
15,210225090559-black-lives-matter-2020-donation-report-restricted.jpg,4,Polyester-American-flag-closeup-angle_6647de24-6210-4bb8-a86f-2b0c5923c020.jpeg,0.757,
15,210225090559-black-lives-matter-2020-donation-report-restricted.jpg,5,crowd-people-walking-crowded-street-footage-098377624_iconl.jpeg,0.7544,
15,210225090559-black-lives-matter-2020-donation-report-restricted.jpg,6,timon-studler-ABGaVhJxwDQ-unsplash_b99ec30b-edbe-4152-9619-95beb998dd4a-prv.jpg,0.753,
15,210225090559-black-lives-matter-2020-donation-report-restricted.jpg,7,1000_F_58368809_JLfp70GQjwUw6ACsVSUFtxAWwXrTFfaP.jpg,0.7505,
15,210225090559-black-lives-matter-2020-donation-report-restricted.jpg,8,webp.jpeg,0.75,
15,210225090559-black-lives-matter-2020-donation-report-restricted.jpg,9,Large-crowd-of-people-014.jpg,0.7401,
15,210225090559-black-lives-matter-2020-donation-report-restricted.jpg,10,trump-obamacare-refunds.jpg,0.7373,
16,2500.jpeg,1,"At_London_2025_487_-_Statue_of_Winston_Churchill,_Parliament_Square.jpg",0.6263,
16,2500.jpeg,2,np_file_37764.jpg,0.5914,
16,2500.jpeg,3,2023-09-30T051708Z_985728_RC2PI3A53UNF_RTRMADP_3_CHINA-ANNIVERSARY-2-1.webp,0.5861,
16,2500.jpeg,4,gettyimages-2294343025.jpg,0.58,
16,2500.jpeg,5,union-jack-uk-parliament.jpeg,0.5673,
16,2500.jpeg,6,560868.jpg,0.5667,
16,2500.jpeg,7,2022-10-22T202418Z_641060986_RC2B6X98MZ3F_RTRMADP_3_BRITAIN-POLITICS-JOHNSON-ARRIVAL-1024x683.jpg,0.5656,
16,2500.jpeg,8,1240216414.jpeg,0.5603,
16,2500.jpeg,9,GettyImages-2208183148-1024x700.jpg,0.5548,
16,2500.jpeg,10,GettyImages-8727806941-e1521676525104-1024x637.jpg,0.5516,
17,25omer-superJumbo-1.jpg,1,il_fullxfull.2946516750_ao6g.jpeg,0.6814,
17,25omer-superJumbo-1.jpg,2,images.jpg,0.6451,
17,25omer-superJumbo-1.jpg,3,Registry-of-the-American-Soldier.png,0.6447,
17,25omer-superJumbo-1.jpg,4,christopher-burns-pzMP-RGJ7mY-unsplash-scaled-1.jpg,0.6413,
17,25omer-superJumbo-1.jpg,5,2023-09-30T051708Z_985728_RC2PI3A53UNF_RTRMADP_3_CHINA-ANNIVERSARY-2-1.webp,0.634,
17,25omer-superJumbo-1.jpg,6,68382.jpeg,0.6304,
17,25omer-superJumbo-1.jpg,7,central-business-district.jpg,0.63,
17,25omer-superJumbo-1.jpg,8,timon-studler-ABGaVhJxwDQ-unsplash_b99ec30b-edbe-4152-9619-95beb998dd4a-prv.jpg,0.6248,
17,25omer-superJumbo-1.jpg,9,BN-CU905_ObamaG_FR_20140515164201.jpg,0.6209,
17,25omer-superJumbo-1.jpg,10,photo-1506755594592-349d12a7c52a.jpeg,0.6173,
18,25years_1080x.jpeg,1,best-movie-posters-of-all-time-v0-w3jkbptktk6g1.jpeg,0.7087,
18,25years_1080x.jpeg,2,"71-DuJMBshL._AC_UF1000,1000_QL80_.jpg",0.6966,
18,25years_1080x.jpeg,3,Stalin_in_July_1941-scaled.jpg,0.693,
18,25years_1080x.jpeg,4,Che_Guevara_-_Guerrillero_Heroico_by_Alberto_Korda.jpg,0.6842,
18,25years_1080x.jpeg,5,images copy.jpg,0.6785,
18,25years_1080x.jpeg,6,GrIbt2WXgAArYDk.jpg,0.6736,
18,25years_1080x.jpeg,7,best-movie-posters-of-all-time-v0-32lofmtktk6g1.jpeg,0.6724,
18,25years_1080x.jpeg,8,Screenshot 2026-09-13 at 2.38.07 PM.png,0.6693,
18,25years_1080x.jpeg,9,best-movie-posters-of-all-time-v0-jjxf6ntktk6g1.jpeg,0.666,
18,25years_1080x.jpeg,10,best-movie-posters-of-all-time-v0-2gl1lntktk6g1.jpeg,0.664,
19,26julyposter_1080x.jpeg,1,zunzun no.2  dia de las far castro.jpg,0.7841,
19,26julyposter_1080x.jpeg,2,Che_Guevara_-_Guerrillero_Heroico_by_Alberto_Korda.jpg,0.76,
19,26julyposter_1080x.jpeg,3,141013-che-guevara-716x1024.jpg,0.7565,
19,26julyposter_1080x.jpeg,4,ap_080916029731_35535176_ver1.0.jpeg,0.7448,
19,26julyposter_1080x.jpeg,5,"71-DuJMBshL._AC_UF1000,1000_QL80_.jpg",0.7155,
19,26julyposter_1080x.jpeg,6,Vladimir_Lenin.jpeg,0.6913,
19,26julyposter_1080x.jpeg,7,images-2 copy.jpg,0.6862,
19,26julyposter_1080x.jpeg,8,Vladimir_Lenin_a_colori_(cropped).jpg,0.6862,
19,26julyposter_1080x.jpeg,9,Stalin_in_July_1941-scaled.jpg,0.6724,
19,26julyposter_1080x.jpeg,10,Joseph-Stalin-1950.jpeg,0.6667,
20,3.jpg,1,pointing-finger-forward-stockcake.jpg,0.7013,
20,3.jpg,2,images-2 copy.jpg,0.6955,
20,3.jpg,3,Polyester-American-flag-closeup-angle_6647de24-6210-4bb8-a86f-2b0c5923c020.jpeg,0.6928,
20,3.jpg,4,Stalin_in_July_1941-scaled.jpg,0.6919,
20,3.jpg,5,Joseph-Stalin-1950.jpeg,0.6796,
20,3.jpg,6,images-3 copy.jpg,0.6788,
20,3.jpg,7,900_Boy Scouts Jamboree.jpg,0.674,
20,3.jpg,8,Large-crowd-of-people-014.jpg,0.6729,
20,3.jpg,9,"71-DuJMBshL._AC_UF1000,1000_QL80_.jpg",0.6726,
20,3.jpg,10,2827r.jpg,0.6709,
21,30051001321444-(Cropped)_0.jpg,1,693.jpg,0.8217,
21,30051001321444-(Cropped)_0.jpg,2,"Mao_Tsé-toung,_portrait_en_buste,_assis,_faisant_face_à_Nikita_Khrouchtchev,_pendant_la_visite_du_chef_russe_1958_à_Pékin_(Mao_Zedong).jpg",0.8198,
21,30051001321444-(Cropped)_0.jpg,3,Mao-Zedong-1965.jpeg,0.8112,
21,30051001321444-(Cropped)_0.jpg,4,China-Deng-Xiao-ping-005-1.jpg,0.7944,
21,30051001321444-(Cropped)_0.jpg,5,S1-LZ040_CDIARI_G_20210913165051.jpg,0.794,
21,30051001321444-(Cropped)_0.jpg,6,MV5BNWU5ZTg3NDYtYzM1MC00YWMzLWEyYTktNGEyZTgyYjlmMDExXkEyXkFqcGc@._V1_.jpg,0.7939,
21,30051001321444-(Cropped)_0.jpg,7,Mao-Zedong.jpeg,0.7939,
21,30051001321444-(Cropped)_0.jpg,8,Stalin_in_July_1941-scaled.jpg,0.7929,
21,30051001321444-(Cropped)_0.jpg,9,Che_Guevara_-_Guerrillero_Heroico_by_Alberto_Korda.jpg,0.7839,
21,30051001321444-(Cropped)_0.jpg,10,1967-10_1967年毛泽东与林彪.jpg,0.7834,
22,"30a_Sammlung_Eybl_Großbritannien._Alfred_Leete_(1882–1933)_Britons_(Kitchener)_wants_you_(Briten_Kitchener_braucht_Euch)._1914_(Nachdruck),_74_x_50_cm._(Slg.Nr._552).jpg",1,900_Boy Scouts Jamboree.jpg,0.7092,
22,"30a_Sammlung_Eybl_Großbritannien._Alfred_Leete_(1882–1933)_Britons_(Kitchener)_wants_you_(Briten_Kitchener_braucht_Euch)._1914_(Nachdruck),_74_x_50_cm._(Slg.Nr._552).jpg",2,Stalin_in_July_1941-scaled.jpg,0.7023,
22,"30a_Sammlung_Eybl_Großbritannien._Alfred_Leete_(1882–1933)_Britons_(Kitchener)_wants_you_(Briten_Kitchener_braucht_Euch)._1914_(Nachdruck),_74_x_50_cm._(Slg.Nr._552).jpg",3,Joseph-Stalin-1950.jpeg,0.6867,
22,"30a_Sammlung_Eybl_Großbritannien._Alfred_Leete_(1882–1933)_Britons_(Kitchener)_wants_you_(Briten_Kitchener_braucht_Euch)._1914_(Nachdruck),_74_x_50_cm._(Slg.Nr._552).jpg",4,images-3 copy.jpg,0.686,
22,"30a_Sammlung_Eybl_Großbritannien._Alfred_Leete_(1882–1933)_Britons_(Kitchener)_wants_you_(Briten_Kitchener_braucht_Euch)._1914_(Nachdruck),_74_x_50_cm._(Slg.Nr._552).jpg",5,Polyester-American-flag-closeup-angle_6647de24-6210-4bb8-a86f-2b0c5923c020.jpeg,0.6831,
22,"30a_Sammlung_Eybl_Großbritannien._Alfred_Leete_(1882–1933)_Britons_(Kitchener)_wants_you_(Briten_Kitchener_braucht_Euch)._1914_(Nachdruck),_74_x_50_cm._(Slg.Nr._552).jpg",6,"71-DuJMBshL._AC_UF1000,1000_QL80_.jpg",0.6802,
22,"30a_Sammlung_Eybl_Großbritannien._Alfred_Leete_(1882–1933)_Britons_(Kitchener)_wants_you_(Briten_Kitchener_braucht_Euch)._1914_(Nachdruck),_74_x_50_cm._(Slg.Nr._552).jpg",7,images-2 copy.jpg,0.6767,
22,"30a_Sammlung_Eybl_Großbritannien._Alfred_Leete_(1882–1933)_Britons_(Kitchener)_wants_you_(Briten_Kitchener_braucht_Euch)._1914_(Nachdruck),_74_x_50_cm._(Slg.Nr._552).jpg",8,7.2-Margaret-Thatcher.jpg,0.6664,
22,"30a_Sammlung_Eybl_Großbritannien._Alfred_Leete_(1882–1933)_Britons_(Kitchener)_wants_you_(Briten_Kitchener_braucht_Euch)._1914_(Nachdruck),_74_x_50_cm._(Slg.Nr._552).jpg",9,2827r.jpg,0.6664,
22,"30a_Sammlung_Eybl_Großbritannien._Alfred_Leete_(1882–1933)_Britons_(Kitchener)_wants_you_(Briten_Kitchener_braucht_Euch)._1914_(Nachdruck),_74_x_50_cm._(Slg.Nr._552).jpg",10,King_George_VI_LOC_matpc.14736_A_(cropped).jpg,0.666,
23,40bnjns67muz.jpg,1,lungs.jpg,0.5918,
23,40bnjns67muz.jpg,2,Heart-and-lungs.jpg,0.5402,
23,40bnjns67muz.jpg,3,il_fullxfull.2946516750_ao6g.jpeg,0.4537,
23,40bnjns67muz.jpg,4,s-l1200.jpg,0.4508,
23,40bnjns67muz.jpg,5,Merry_Old_Santa_Claus_by_Thomas_Nast.jpg,0.4418,
23,40bnjns67muz.jpg,6,HONDA_ASIMO.jpg,0.4401,
23,40bnjns67muz.jpg,7,Screenshot 2026-09-13 at 2.38.59 PM.png,0.4382,
23,40bnjns67muz.jpg,8,262788.jpg,0.4376,
23,40bnjns67muz.jpg,9,s-l1200-5.jpg,0.4373,
23,40bnjns67muz.jpg,10,MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_FMjpg_UX1000_.jpg,0.4354,
24,4isrv8gtuykh1.jpg,1,_126347570_gettyimages-1238182438.jpg,0.6637,
24,4isrv8gtuykh1.jpg,2,President-of-China-Xi-Jinping.jpeg,0.6551,
24,4isrv8gtuykh1.jpg,3,2023-09-30T051708Z_985728_RC2PI3A53UNF_RTRMADP_3_CHINA-ANNIVERSARY-2-1.webp,0.6539,
24,4isrv8gtuykh1.jpg,4,560868.jpg,0.6208,
24,4isrv8gtuykh1.jpg,5,TRUMP-XI-MEETING-TRADE-GettyImages-2244085159.jpeg,0.6084,
24,4isrv8gtuykh1.jpg,6,b33d83cf315cd3c8d91485188a200399.jpeg,0.6065,
24,4isrv8gtuykh1.jpg,7,Mao-Zedong-1965.jpeg,0.5844,
24,4isrv8gtuykh1.jpg,8,mao_great_leap_forward_history_today_0.jpeg,0.5794,
